,Unnamed: 0,incident_control,incident_containment,incident_acres_burned,incident_name,calfire_incident,is_active,incident_id,incident_type,County,data_id
1203,1203,,100.0,20.0,Niles Fire,True,N,03f49769-b928-44a5-be82-236d3d341eba,,Alameda,Alameda-2018-11
1204,1204,,100.0,150.0,Briggs Fire,True,N,c003df4f-d19c-4e21-a90f-81d3f14aaf99,,Ventura,Ventura-2018-11
1205,1205,,100.0,186.0,Peak Fire,True,N,c3b66e33-ef00-4874-a29b-b36640c16122,Wildfire,Ventura,Ventura-2018-11
1206,1206,,100.0,10.0,Bear Fire ,True,N,b6fb27e6-073c-4092-b8a8-51e96be987a4,,Santa Cruz,Santa Cruz-2018-11
1207,1207,,100.0,80.0,Scott Fire,True,N,31cbc968-6d9d-412b-8bc3-6846ca398fe2,,Yuba,Yuba-2019-06
1208,1208,,100.0,161.0,York Fire,True,N,85bdd89a-4ce5-4539-a274-23fa2b030e7d,,Kings,Kings-2019-04
1209,1209,,100.0,10.0,Cana Fire,True,N,34abbc65-5bbe-474b-85c8-16d07bb5b503,,Butte,Butte-2019-04
1210,1210,,100.0,115.0,Woody Fire,False,N,d3beabf6-63e9-4cad-a17c-58bb36abd7ac,,Glenn,Glenn-2019-04
1211,1211,,100.0,50.0,Meridian Fire,True,N,398bb669-190d-4dbf-9af0-6ccb27817c13,,Butte,Butte-2019-05
1212,1212,,100.0,172.0,Vulcan Fire,True,N,ee290ec6-3815-4c44-a96a-edb331fcc925,,Kern,Kern-2019-05
1213,1213,,100.0,2500.0,Refuge Fire,False,N,6f329208-5aa0-45fc-a4ec-db9caf865ca7,,Kern,Kern-2019-05
1214,1214,,100.0,65.0,Sugar Fire,False,N,0888bb9d-0d9b-4a49-bf3d-a55a7c40a707,,Placer,Placer-2019-05
1215,1215,,100.0,22.0,Border Fire,True,N,a81e03a3-de18-48e4-93bf-f8da83a17927,,San Diego,San Diego-2019-05
1216,1216,,100.0,130.0,Shady Fire,True,N,e98603d2-f44e-4a9e-b83d-5e9f94766b53,,Riverside,Riverside-2019-05
1217,1217,,100.0,63.0,Paskenta Fire,True,N,aed86291-4631-4d79-ba5f-6b2c8ca399c9,,Tehama,Tehama-2019-05
1218,1218,,100.0,26.0,Foothill Fire,True,N,9d7c5ad0-6682-430a-b4d1-d39cfea73a29,,Riverside,Riverside-2019-05
1219,1219,,100.0,835.0,Belmont Fire,True,N,e2d77e59-b831-4267-a50b-89ede499a885,,San Luis Obispo,San Luis Obispo-2019-05
