,incident_latitude,incident_longitude,incident_dateonly_created,incident_control,incident_containment,incident_acres_burned,incident_county,incident_name,calfire_incident,is_active,incident_id,incident_type,County
1168,34.48229,-118.60858,2018-09-22,,100.0,3380.0,Los Angeles,Charlie Fire,False,N,4fa2e1e0-a920-4991-beb6-3c080b6c1500,,Los Angeles
1169,37.387890000000006,-119.68911999999999,2018-09-22,,100.0,360.0,Madera,Oak Fire,True,N,6b6dff76-8fab-4852-a71c-e735f87bd6fa,,Madera
1170,40.336420000000004,-120.93005,2018-09-22,,100.0,53.0,Lassen,Copper Fire,True,N,b9d64431-d96d-413f-84df-ef3b381d3002,,Lassen
1171,40.34256,-121.43025,2018-09-28,,100.0,261.0,Tehama,Wilson Fire,False,N,d0ae0a7f-dd7b-4cb1-8f4a-2a784a17d6d4,,Lake
1172,40.5939,-122.17173000000001,2018-09-28,,100.0,76.0,Shasta,Silver Fire,True,N,b181e69a-5864-44c1-b5b4-f4c5832a4539,,Shasta
1173,37.33563,-121.75815,2018-09-23,,100.0,30.0,Santa Clara,Quimby Fire,True,N,04100255-b014-4a69-92c2-5388c7f9b9d6,,Santa Clara
1174,39.84151,-121.62168,2018-09-24,,100.0,33.0,Butte,Nimshew Fire,True,N,9856efb8-4d41-4276-9d4e-a5b29d912996,,Butte
1175,-120.258,-120.258,2018-09-29,,100.0,80.0,San Luis Obispo,Shandon Fire,True,N,9c03d484-e442-4eaa-8a7b-99d6c769750a,,San Luis Obispo
1176,34.24138,-117.42431,2018-09-26,,100.0,53.0,San Bernardino,Keenbrook Fire,False,N,2c41731e-1e13-494c-b7f7-928b89bb7d32,,San Bernardino
1177,35.97677,-121.24898,2018-10-02,,100.0,150.0,Monterey,Nacimiento Fire,False,N,9d69b6cb-1dee-43df-83ca-b2b5485006d7,,Monterey
1178,36.938674,-119.3127769,2018-10-02,,100.0,32.0,Fresno,Eagle Fire,False,N,8c4b830f-be4f-4469-9448-f0e98ea1d189,,Fresno
1179,40.22027778,-122.18,2018-10-07,All roads are open.,100.0,3889.0,Tehama,Sun Fire,True,N,8f633ae7-b5f0-455f-a60e-13d9566e5844,,Tehama
1180,37.1769444,-121.68694444,2018-10-07,,100.0,63.0,Santa Clara,Park Fire,False,N,f19a49b4-9d0f-4c61-83ea-9b4a741b0bef,,Santa Clara
1181,41.940459999999995,-122.43933,2018-10-10,,100.0,15.0,Siskiyou,Iron Gate Fire,True,N,28725d54-51bc-41f9-99ed-aca0396be12a,,Siskiyou
1182,38.45673,-121.94658000000001,2018-10-12,,100.0,160.0,Solano,Winters Fire,False,N,e9c8c0aa-4d21-4f09-9858-890ea163d580,,Solano
1183,36.18401,-120.69955,2018-10-13,,100.0,167.0,Monterey,Priest Fire,True,N,8a79c31d-0df0-4448-a855-b04cfc384825,,Monterey
1184,40.496179999999995,-122.51597,2018-10-14,,100.0,12.0,Shasta,Tower Fire,True,N,a8f54d41-fc8c-476c-9122-f1357aa166a0,,Shasta
1185,40.60866,-122.38366,2018-10-14,,100.0,38.0,Shasta,Masonic Fire,False,N,83c539f5-64c1-4156-86e5-ac6cf4c947d5,,Shasta
1186,39.93427,-121.54103,2018-10-15,,100.0,10.0,Butte,Powellton Fire,True,N,b8dc21be-0807-4434-9536-45a4a660ed83,,Butte
1187,35.17693,-120.48861000000001,2018-10-19,,100.0,58.0,San Luis Obispo,Camino Fire,True,N,a728d915-1c00-43b6-bd5b-228be34a38fe,,San Luis Obispo
1188,36.47766,-119.10433,2018-10-24,,100.0,120.0,Tulare,Market Fire,True,N,87760805-5b1a-486e-91c4-590557929182,,Tulare
1189,39.36529,-121.51706999999999,2018-10-30,,100.0,550.0,Butte,June Fire,True,N,7ee82e4f-f5e8-4278-b4e7-e82c390b395e,,Butte
1190,37.0125,-122.046,2018-11-03,,100.0,17.0,Santa Cruz,Rincon Fire,True,N,7d1f523d-6940-4b64-bc5a-7ecb5a63538a,,Santa Cruz
1191,39.62194,-123.28773999999999,2018-11-08,,100.0,35.0,Mendocino,Brushy Fire,True,N,10d67079-faa9-4034-a4d7-8346b450e7de,,Mendocino
1192,39.8134,-121.4347,2018-11-08,See Incident Update,100.0,153336.0,Butte,Camp Fire,True,N,75dafe80-f18a-4a4a-9a37-4b564c5f6014,Wildfire,Butte
1193,40.346652,-122.308479,2018-11-05,,100.0,60.0,Tehama,Adams Fire,True,N,8030a870-0453-48e0-b243-86dbae075434,,Tehama
1194,40.83116,-120.19336000000001,2018-11-08,,100.0,88.0,Lassen,Horn Fire,False,N,79968306-21a9-465e-acbe-4ea715c70ab5,,Lassen
1195,38.21396,-121.9424,2018-11-08,,100.0,1500.0,Solano,Nurse Fire,False,N,b8fe54be-15a8-4088-b0bb-16992df93a7e,,Solano
1196,34.22685,-118.93444,2018-11-08,,100.0,4531.0,Ventura,Hill Fire,True,N,bc95da49-28a0-4e56-88d9-72e7455063c0,Wildfire,Ventura
1197,34.235,-118.70128000000001,2018-11-08,,100.0,96949.0,"Los Angeles, Ventura",Woolsey Fire,True,N,92d7aeea-7abf-47a4-bf76-a4fe0fac65c6,Wildfire,Ventura
1198,40.61805556,-123.67555556,2019-01-01,,100.0,30.0,Humboldt,Pilot Fire,True,N,6004d3e5-66f8-487a-80a4-689d3852378c,,Humboldt
1199,39.71217,-121.77385,2018-11-29,,100.0,0.0,Butte,Honey Flooding,True,N,e6b8af54-15fb-42bb-8be9-f323c9d5cc78,Flood,Butte
1200,37.81111,-121.7944,2018-11-15,,100.0,20.0,Contra Costa,Morgan Fire,True,N,e83e7346-5b83-4e3a-845c-867fd84d17f0,,Contra Costa
1201,40.888785,-124.00184899999999,2018-11-12,,100.0,10.0,Humboldt,Green Hill Fire,True,N,116fabb6-7440-4d6d-aa89-668989c028db,,Humboldt
