,incident_latitude,incident_longitude,date,temperature (degC),wind_speed (m/s),total_precipitation (mm of water equivalent),relative_humidity (0-1),surface_pressure (Pa),humidex (degC),County,latitude,longitude,y,month,year
Kern-2019-06,0.0,0.0,2019-06,24.02233333333333,2.1086666666666667,0.14499999999999996,0.6583333333333332,98542.22466666668,29.55833333333333,Kern,36.27910196612073,-119.06491863808806,False,06,2019
Kern-2019-09,0.0,0.0,2019-09,24.82133333333333,1.494,0.01966666666666667,0.6453333333333333,98817.81566666668,30.713666666666665,Kern,35.41913520697722,-118.1506509324893,False,09,2019
Kern-2019-10,0.0,0.0,2019-10,17.578064516129032,1.9193548387096768,0.17548387096774193,0.6841935483870968,98728.30354838714,19.939999999999994,Kern,36.09101326504626,-119.50137158118427,False,10,2019
Kern-2019-11,0.0,0.0,2019-11,7.7,2.063,0.12033333333333332,0.6656666666666667,98823.51666666663,6.155333333333334,Kern,35.57318409864165,-118.91401243513563,False,11,2019
Kern-2019-12,0.0,0.0,2019-12,7.272903225806452,2.3270967741935484,0.10064516129032257,0.6867741935483872,98837.73677419352,5.870645161290322,Kern,36.23325893245964,-118.8268422931249,False,12,2019
Kern-2020-01,0.0,0.0,2020-01,6.825161290322582,2.3816129032258067,0.13935483870967744,0.6725806451612903,99068.34032258064,5.405161290322583,Kern,35.89510446084516,-119.17949056750567,False,01,2020
Kern-2020-02,0.0,0.0,2020-02,7.946551724137932,2.6910344827586203,0.26793103448275857,0.6555172413793104,98784.95793103447,6.643103448275863,Kern,34.65061354407362,-118.05674850142232,False,02,2020
Kern-2020-03,0.0,0.0,2020-03,13.550322580645163,2.4812903225806453,0.1293548387096774,0.6525806451612904,98929.07193548387,13.912258064516132,Kern,35.0397398079029,-118.99367727867808,False,03,2020
Kern-2020-04,0.0,0.0,2020-04,14.708333333333336,2.657666666666666,0.212,0.5700000000000002,98290.98966666665,14.673666666666668,Kern,34.79881643856327,-118.88418615541451,False,04,2020
Kern-2020-05,0.0,0.0,2020-05,17.66290322580645,2.53,0.29096774193548386,0.6916129032258063,98764.00258064516,20.345161290322565,Kern,34.85825323225855,-118.92016887078995,False,05,2020
Kern-2020-09,0.0,0.0,2020-09,20.147666666666666,2.1786666666666665,0.20033333333333334,0.7716666666666667,98839.03933333332,25.126666666666665,Kern,34.37855312205622,-118.67699056079198,False,09,2020
Kern-2020-10,0.0,0.0,2020-10,16.455483870967743,1.7890322580645162,0.19548387096774192,0.7719354838709678,98885.17354838707,19.190967741935488,Kern,36.10226839942669,-118.68810091268472,False,10,2020
Kern-2020-11,0.0,0.0,2020-11,12.074333333333335,1.909,0.18766666666666668,0.6876666666666665,99172.68566666664,12.393333333333334,Kern,36.18824159202104,-118.42872217999326,False,11,2020
Kern-2020-12,0.0,0.0,2020-12,5.197666666666667,2.214,0.16499999999999998,0.6920000000000001,98840.19333333331,3.211666666666667,Kern,34.44230132913641,-118.51947853516097,False,12,2020
Kings-2013-01,0.0,0.0,2013-01,3.8174193548387096,4.619354838709677,0.0803225806451613,0.8722580645161291,100855.25999999997,2.2567741935483867,Kings,36.93651198524502,-119.74293169910844,False,01,2013
Kings-2013-02,0.0,0.0,2013-02,3.361428571428572,4.882142857142859,0.052500000000000005,0.7917857142857143,101468.30999999995,1.245357142857143,Kings,35.61738650645299,-119.13286834852636,False,02,2013
Kings-2013-03,0.0,0.0,2013-03,2.724838709677419,5.194838709677419,0.08290322580645161,0.7954838709677421,100787.24935483873,0.4958064516129034,Kings,35.63499005972022,-120.4179795804141,False,03,2013
Kings-2013-04,0.0,0.0,2013-04,7.450333333333332,5.0710000000000015,0.02633333333333334,0.7173333333333336,101121.5433333333,6.085333333333333,Kings,36.64775487038733,-120.49335730693603,False,04,2013
Kings-2013-05,0.0,0.0,2013-05,10.447096774193543,4.349677419354838,0.10870967741935483,0.7477419354838708,100775.40774193543,10.17225806451613,Kings,36.10783971298937,-119.36602661789473,False,05,2013
Kings-2013-06,0.0,0.0,2013-06,13.321,3.7096666666666662,0.07933333333333334,0.7836666666666668,101448.90833333334,14.473666666666668,Kings,36.12661080964629,-119.684481021477,False,06,2013
Kings-2013-07,0.0,0.0,2013-07,17.437419354838706,2.9916129032258065,0.08709677419354839,0.7632258064516129,101655.85419354837,20.38806451612903,Kings,36.98418692969441,-120.28401168339231,False,07,2013
Kings-2013-08,0.0,0.0,2013-08,17.009032258064515,3.859354838709678,0.06999999999999999,0.7490322580645161,101278.30322580645,19.620322580645162,Kings,36.40304757791288,-120.70199658645701,False,08,2013
